,CONTROL,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,NPT4_PUB,NPT4_PRIV,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_API,UGDS_API,OPEID,INSTNM,CITY,STABBR,INSTURL,HIGHDEG,LATITUDE,LONGITUDE
30,2,0.7388,550.0,640.0,500.0,600.0,530.0,610.0,,17243.0,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0862,0.0172,0.0,0.0345,0.0,0.0172,0.0,0.0172,0.0,0.0517,0.069,0.0172,0.0172,0.0,0.0,0.0,0.0,0.0862,0.3448,0.069,0.0,331.0,0.7915,0.145,0.0151,0.0091,0.003,0.0,0.006,0.0091,0.0211,,,,102300,Judson College,Marion,AL,www.judson.edu,3,32.6305,-87.3161
31,1,,,,,,,,7406.0,,0.0,0.0,0.0,0.0,0.0,0.0287,0.0478,0.0877,0.0,0.0,0.1164,0.0,0.1005,0.0,0.0,0.2249,0.0,0.0,0.0,0.0,0.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.008,0.0112,0.0622,0.067,0.0223,0.0,0.0064,0.0734,0.0909,0.0,2894.0,0.1448,0.7557,0.0104,0.0031,0.0014,0.0024,0.0083,0.001,0.0729,,,,105900,Lawson State Community College-Birmingham Campus,Birmingham,AL,www.lawsonstate.edu,2,33.4517,-86.8902
32,1,0.9957,,,,,,,13221.0,,0.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.2169,0.0,0.0237,0.0,0.0,0.0,0.0305,0.0,0.0,0.0373,0.0373,0.0,0.0203,0.0,0.0,0.0,0.0169,0.0,0.0407,0.0,0.0,0.0508,0.0,0.0102,0.0,0.0,0.0,0.2136,0.2746,0.0237,1988.0,0.4291,0.4195,0.0216,0.0101,0.0035,0.001,0.0091,0.0473,0.0589,,,,102400,University of West Alabama,Livingston,AL,www.uwa.edu,4,32.5924,-88.1861
33,1,,,,,,,,8041.0,,0.0,0.0292,0.0,0.0,0.0,0.0,0.0219,0.073,0.0,0.0,0.0268,0.0,0.017,0.0,0.0,0.2603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0681,0.0389,0.0,0.0,0.438,0.0268,0.0,1372.0,0.7259,0.2493,0.0087,0.0058,0.0022,0.0,0.0051,0.0007,0.0022,,,,898800,Lurleen B Wallace Community College,Andalusia,AL,www.lbwcc.edu,2,31.3229,-86.4523
34,1,0.6034,460.0,590.0,460.0,600.0,,,11013.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.5766,0.2287,0.1022,0.0365,0.0122,0.0049,0.0292,0.0,0.0097,,,,102600,Marion Military Institute,Marion,AL,www.marionmilitary.edu,2,32.6224,-87.318
35,2,,,,,,,,,15217.0,0.0,0.0107,0.0,0.0,0.0963,0.0,0.0588,0.0,0.0802,0.0,0.0,0.0,0.0321,0.0,0.0107,0.0,0.0,0.1444,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818,0.0802,0.0481,0.0,0.0,0.0,0.0,0.0053,0.0,0.246,0.0,1663.0,0.018,0.9693,0.0054,0.0,0.0,0.0006,0.0066,0.0,0.0,,,,102800,Miles College,Fairfield,AL,www.miles.edu,3,33.4813,-86.9086
36,2,0.7125,470.0,610.0,470.0,680.0,,,,17970.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0067,0.0,0.2007,0.0,0.0,0.0,0.0,0.0,0.0067,0.1171,0.0,0.0368,0.01,0.0,0.0201,0.0234,0.0468,0.0401,0.0,0.0,0.0301,0.0,0.0,0.0334,0.0,0.0,0.0,0.0,0.0368,0.1806,0.1806,0.0134,1472.0,0.6461,0.216,0.0122,0.0095,0.0163,0.0007,0.017,0.0306,0.0516,,,,102900,University of Mobile,Mobile,AL,www.umobile.edu,4,30.7932,-88.1289
37,1,0.8729,495.0,613.0,465.0,550.0,440.0,580.0,15003.0,,0.0,0.0,0.0,0.0,0.0521,0.0,0.0,0.0,0.1104,0.0,0.0,0.0123,0.0767,0.0,0.1074,0.0,0.0,0.0552,0.0307,0.0,0.0,0.0429,0.0,0.0,0.0123,0.0,0.0521,0.0,0.046,0.0491,0.0,0.0,0.0,0.0,0.1472,0.0429,0.1166,0.046,2610.0,0.7368,0.1398,0.023,0.0065,0.0069,0.0011,0.018,0.0134,0.0544,,,,100400,University of Montevallo,Montevallo,AL,www.montevallo.edu,4,33.1063,-86.8651
38,1,,,,,,,,4678.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0398,0.0,0.0,0.0438,0.0,0.0411,0.0,0.0,0.3037,0.0,0.0,0.0,0.0,0.0676,0.0,0.0,0.0,0.0,0.0027,0.0,0.0133,0.0,0.0,0.0332,0.1034,0.0796,0.0,0.0,0.1764,0.0902,0.0,3235.0,0.8195,0.127,0.0343,0.0031,0.0065,0.0009,0.0071,0.0,0.0015,,,,569700,Northwest-Shoals Community College,Muscle Shoals,AL,www.nwscc.edu,2,34.7396,-87.6773
39,1,0.8092,413.0,565.0,433.0,530.0,,,11476.0,,0.0,0.0,0.0,0.0,0.0725,0.0,0.0137,0.0,0.1208,0.0,0.0,0.0095,0.0378,0.0,0.0231,0.0,0.0,0.0378,0.0011,0.0,0.0315,0.0441,0.0,0.0,0.0137,0.0,0.0263,0.0483,0.0431,0.0767,0.0,0.0,0.0,0.0,0.0525,0.167,0.1586,0.0221,5536.0,0.715,0.1384,0.0246,0.0038,0.0112,0.0011,0.0208,0.0495,0.0358,,,,101600,University of North Alabama,Florence,AL,www.una.edu,4,34.8066,-87.681
40,1,,,,,,,,2544.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0214,0.0361,0.0,0.0,0.0643,0.0,0.0327,0.0,0.0,0.2393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0767,0.0,0.0,0.0,0.1275,0.0339,0.0,0.0,0.2889,0.079,0.0,2376.0,0.8885,0.0181,0.0526,0.0055,0.0295,0.0,0.0034,0.0021,0.0004,,,,103100,Northeast Alabama Community College,Rainsville,AL,www.nacc.edu,2,34.5455,-85.9117
41,2,0.3435,410.0,513.0,400.0,510.0,,,,26954.0,0.0,0.0,0.0,0.0,0.0222,0.0,0.0139,0.0,0.05,0.0,0.0,0.0278,0.0139,0.0,0.0139,0.0806,0.0,0.2028,0.0194,0.0,0.0028,0.0,0.0,0.0833,0.0083,0.0,0.05,0.0,0.0389,0.0472,0.0,0.0,0.0,0.0,0.0306,0.1556,0.1306,0.0083,1854.0,0.0102,0.8495,0.0237,0.0016,0.0038,0.0,0.0,0.082,0.0291,,,,103300,Oakwood University,Huntsville,AL,www.oakwood.edu,4,34.7566,-86.6616
